Method Data,,,,
Method name,Panopea,,,
0.4455,57,-50.2,21.1,0.0075
0.454,58,-49.1,21.1,0.0075
0.4625,59,-48,21.1,0.0075
0.4705,60,-46.8,21.1,0.0075
0.479,61,-45.5,21.1,0.0075
0.4865,62,-44.3,21.1,0.0075
0.495,63,-42.9,21.1,0.0075
0.5035,64,-41.4,21.1,0.0075
0.512,65,-39.7,21.1,0.0075
0.5205,66,-37.9,21.1,0.0075
0.529,67,-36,21.1,0.0075
0.5365,68,-34.3,21.1,0.0075
0.545,69,-32.1,21.1,0.0075
0.5535,70,-30,21.1,0.0075
0.5615,71,-27.8,21.1,0.0075
0.57,72,-25.9,21.1,0.0075
0.5785,73,-24.2,21.1,0.0075
0.586,74,-22.8,21.1,0.0075
0.5945,75,-21.3,21.1,0.0075
0.603,76,-19.9,21.1,0.0075
0.6115,77,-18.6,21.1,0.0075
0.62,78,-17.3,21.1,0.0075
0.6275,79,-16.3,21.1,0.0075
0.636,80,-15.2,21.1,0.0075
0.6445,81,-14,21.1,0.0075
0.6525,82,-13,21.1,0.0075
0.661,83,-12.2,21.1,0.0075
0.6695,84,-11.3,21.1,0.0075
0.678,85,-10.5,21.1,0.0085
0.6855,86,-9.6,21.1,0.0075
0.694,87,-8.6,21.1,0.0075
0.7025,88,-7.7,21.1,0.0075
0.711,89,-6.6,21.1,0.0075
0.719,90,-5.6,21.1,0.0075
0.727,91,-5,21.1,0.008
0.735,92,-4,21.1,0.0075
0.7435,93,-3.2,21.1,0.0075
0.752,94,-2.1,21.1,0.0075
0.7605,95,-1,21.1,0.0075
0.769,96,-0.2,21.1,0.0075
0.7765,97,-0.1,21.1,0.0075
0.785,98,0.6,21.1,0.0075
0.7935,99,1.5,21.1,0.0075
0.802,100,2.3,21.1,0.0075
0.81,101,3.8,21.1,0.0075
0.8185,102,4.5,21.1,0.0085
0.826,103,5.1,21.1,0.0075
0.8345,104,5.7,21.1,0.0075
0.843,105,6.3,21.1,0.0075
0.8515,106,7.3,21.1,0.0075
0.86,107,8,21.1,0.0075
0.8685,108,8.8,21.1,0.0075
0.876,109,9.4,21.1,0.0075
0.8845,110,10.2,21.1,0.0075
0.8925,111,11,21.1,0.0075
0.901,112,11.9,21.1,0.0075
0.9095,113,12.6,21.1,0.0075
0.918,114,13.3,21.1,0.0085
0.9255,115,14.2,21.1,0.007
0.934,116,15,21.1,0.0075
0.9425,117,15.8,21.1,0.0075
0.951,118,16.5,21.1,0.0075
0.9595,119,17.2,21.1,0.0075
0.967,120,18,21.1,0.0075
0.9755,121,18.8,21.1,0.0075
0.9835,122,19.5,21.1,0.0075
0.992,123,20.2,21.1,0.0075
1.0005,124,21.1,21.1,0.0075
1.009,125,21.9,21.1,0.0075
1.0165,126,22.7,21.1,0.0075
1.025,127,23.6,21.1,0.0075
1.0335,128,24.6,21.1,0.0075
1.042,129,25.2,21.1,0.0075
1.0505,130,25.7,21.1,0.0075
1.0585,131,26.5,21.1,0.0075
1.0665,132,27.3,21.1,0.008
1.0745,133,28.3,21.1,0.0075
1.083,134,29,21.1,0.0075
1.0915,135,29.9,21.1,0.0075
1.1,136,30.8,21.1,0.0075
1.1085,137,31.6,21.1,0.0085
1.116,138,32.2,21.1,0.0075
1.1245,139,32.9,21.1,0.0075
1.133,140,33.7,21.1,0.0075
1.141,141,34.5,21.1,0.0075
1.1495,142,35.5,21.1,0.0075
1.158,143,36.2,21.1,0.0075
1.1655,144,36.8,21.1,0.0075
1.174,145,37.7,21.1,0.0075
1.1825,146,38.8,21.1,0.0075
1.191,147,39.8,21.1,0.0075
1.1995,148,40.4,21.1,0.0075
1.208,149,41.3,21.1,0.0085
1.2155,150,41.9,21.1,0.0075
1.224,151,42.7,21.1,0.0075
1.232,152,44.1,21.1,0.0075
1.2405,153,44.9,21.1,0.0075
1.249,154,45.7,21.1,0.0075
1.2575,155,46.6,21.1,0.0085
1.265,156,47.5,21.1,0.0075
1.2735,157,48.3,21.1,0.0075
1.282,158,49.1,21.1,0.0075
1.2905,159,50.1,21.1,0.0075
1.2985,160,51.2,21.1,0.0075
1.3065,161,52.2,21.1,0.008
1.3145,162,53.1,21.1,0.0075
1.323,163,54,21.1,0.0075
1.3315,164,55,21.1,0.0075
1.34,165,56.3,21.1,0.0075
1.3485,166,57.2,21.1,0.0075
1.356,167,58.1,21.1,0.0075
1.3645,168,59.3,21.1,0.0075
1.373,169,60.5,21.1,0.0075
1.3815,170,61.5,21.1,0.0075
1.3895,171,62.6,21.1,0.0075
1.398,172,63.7,21.1,0.0075
1.4055,173,64.9,21.1,0.0075
1.414,174,65.9,21.1,0.0075
1.4225,175,67.2,21.1,0.0075
1.431,176,68.5,21.1,0.0075
1.4395,177,69.9,21.1,0.0075
1.448,178,71.3,21.1,0.0075
1.4555,179,72.9,21.1,0.0075
1.464,180,74.6,21.1,0.0075
1.472,181,76.1,21.1,0.0075
1.4805,182,77.6,21.1,0.0075
1.489,183,79.6,21.1,0.0075
1.4975,184,81.1,21.1,0.0075
1.505,185,82.4,21.1,0.0075
1.5135,186,84.2,21.1,0.0075
1.522,187,86.2,21.1,0.0075
1.5305,188,88.3,21.1,0.0075
1.5385,189,90.4,21.1,0.0075
1.547,190,92.9,21.1,0.0075
1.5545,191,95.3,21.1,0.0075
1.563,192,97.8,21.1,0.0075
1.5715,193,100.5,21.1,0.0075
1.58,194,103.5,21.1,0.0075
1.5885,195,106.4,21.1,0.0075
1.597,196,109.7,21.1,0.0075
1.6045,197,112.6,21.1,0.0075
1.613,198,116,21.1,0.0075
1.6215,199,119.8,21.1,0.0075
1.6295,200,123.5,21.1,0.0075
1.638,201,127.3,21.1,0.0075
1.6465,202,131.2,21.1,0.0075
1.654,203,134.7,21.1,0.0075
1.6625,204,138.2,21.1,0.0075
1.671,205,141.9,21.1,0.0075
1.6795,206,145.4,21.1,0.0075
1.688,207,148.9,21.1,0.0075
1.696,208,152.1,21.1,0.0075
1.704,209,155,21.1,0.008
1.712,210,158.1,21.1,0.0075
1.7205,211,161.1,21.1,0.0075
1.729,212,163.8,21.1,0.0075
1.7375,213,166.6,21.1,0.0075
1.746,214,168.8,21.1,0.0085
1.7535,215,171.5,21.1,0.0075
1.762,216,173.9,21.1,0.0075
1.7705,217,176.1,21.1,0.0075
1.7785,218,178.2,21.1,0.0075
1.787,219,180.2,21.1,0.0075
1.7955,220,182,21.1,0.0085
1.803,221,183.7,21.1,0.0075
1.811,222,185,21.1,0.008
1.811,462,194.3,21.1,0
1.8115,463,194.3,21.1,0.0005
1.813,464,194.3,21.1,0.0015
1.8155,465,194.4,21.1,0.0025
1.82,466,194.7,21.1,0.004
1.826,467,195,21.1,0.0055
1.8345,468,195.6,21.1,0.0075
1.842,469,196.3,21.1,0.0075
1.8505,470,197.1,21.1,0.0085
1.859,471,197.9,21.1,0.0085
1.8675,472,198.7,21.1,0.0075
1.8755,473,199.5,21.1,0.0075
1.884,474,200.2,21.1,0.0075
1.8915,475,201,21.1,0.0075
1.9,476,201.7,21.1,0.0085
1.9085,477,202.6,21.1,0.0085
1.917,478,203.3,21.1,0.0075
1.9255,479,204.1,21.1,0.0075
1.934,480,204.7,21.1,0.0075
1.9415,481,205.3,21.1,0.0075
1.95,482,206,21.1,0.0085
1.958,483,206.5,21.1,0.008
1.9665,484,207.2,21.1,0.0075
1.975,485,207.9,21.1,0.0075
1.9835,486,208.5,21.1,0.0075
1.991,487,209,21.1,0.0075
1.9995,488,209.6,21.1,0.0085
2.008,489,210.1,21.1,0.0075
2.0165,490,210.7,21.1,0.0075
2.025,491,211.2,21.1,0.0075
2.033,492,211.8,21.1,0.0075
2.0405,493,212.2,21.1,0.0075
2.049,494,212.8,21.1,0.0085
2.0575,495,213.2,21.1,0.0085
2.066,496,213.7,21.1,0.0075
2.0745,497,214.1,21.1,0.0075
2.083,498,214.6,21.1,0.0075
2.0905,499,215,21.1,0.0075
2.099,500,215.5,21.1,0.0085
2.1075,501,216,21.1,0.0075
2.1155,502,216.3,21.1,0.0075
2.124,503,216.9,21.1,0.0075
2.1325,504,217.2,21.1,0.0075
2.14,505,217.6,21.1,0.0075
2.1485,506,218,21.1,0.0085
2.157,507,218.5,21.1,0.0075
2.1655,508,218.9,21.1,0.0075
2.174,509,219.3,21.1,0.0075
2.182,510,219.7,21.1,0.008
2.19,511,220,21.1,0.008
2.198,512,220.4,21.1,0.008
2.2065,513,220.8,21.1,0.0075
2.215,514,221.1,21.1,0.0075
2.2235,515,221.5,21.1,0.0075
2.232,516,221.8,21.1,0.0085
2.2395,517,222.2,21.1,0.0075
2.248,518,222.5,21.1,0.0085
2.2565,519,222.9,21.1,0.0075
2.2645,520,223.2,21.1,0.0075
2.273,521,223.5,21.1,0.0075
2.2815,522,223.8,21.1,0.0075
2.289,523,224.1,21.1,0.0075
2.2975,524,224.4,21.1,0.0085
2.306,525,224.7,21.1,0.0075
2.3145,526,225.1,21.1,0.0075
2.323,527,225.4,21.1,0.0075
2.331,528,225.7,21.1,0.0075
2.339,529,226,21.1,0.008
2.347,530,226.3,21.1,0.008
2.3555,531,226.6,21.1,0.0075
2.364,532,226.9,21.1,0.0075
2.3725,533,227.1,21.1,0.0075
2.38,534,227.4,21.1,0.0075
2.3885,535,227.7,21.1,0.0085
2.397,536,228,21.1,0.0085
2.4055,537,228.2,21.1,0.0075
2.414,538,228.5,21.1,0.0075
2.422,539,228.8,21.1,0.0075
2.4305,540,229,21.1,0.0085
2.438,541,229.2,21.1,0.0075
2.4465,542,229.5,21.1,0.0085
2.455,543,229.7,21.1,0.0075
2.4635,544,230,21.1,0.0075
2.472,545,230.3,21.1,0.0075
2.4795,546,230.5,21.1,0.0075
2.488,547,230.8,21.1,0.0085
2.4965,548,231,21.1,0.0085
2.505,549,231.3,21.1,0.0075
2.513,550,231.5,21.1,0.0075
2.5215,551,231.8,21.1,0.0075
2.529,552,231.9,21.1,0.0075
2.5375,553,232.1,21.1,0.0085
2.546,554,232.4,21.1,0.0085
2.5545,555,232.6,21.1,0.0075
2.563,556,232.9,21.1,0.0075
2.5715,557,233.1,21.1,0.0075
2.579,558,233.3,21.1,0.0075
2.5875,559,233.6,21.1,0.0085
2.5955,560,233.8,21.1,0.008
2.604,561,234,21.1,0.0075
2.6125,562,234.2,21.1,0.0075
2.62,563,234.4,21.1,0.007
2.6245,564,234.5,21.1,0.0045
2.6255,565,234.7,21.1,0.001
2.6255,566,234.7,21.1,0
2.627,567,234.8,21.1,0.0015
2.629,568,234.8,21.1,0.002
2.632,569,234.9,21.1,0.0025
2.636,570,234.9,21.1,0.004
2.6395,571,235,21.1,0.006
Scope 1/1, Sample 2/9 (20160805_Bin2),,,
Result,TitrationEP1,,,
V,t,E,T,dV/dt
0,0,-61.8,20.9,NaN
0.0005,1,-63.6,20.9,0.0005
0.0025,2,-64,20.9,0.002
0.005,3,-64.4,20.9,0.0025
0.0085,4,-64.8,20.9,0.003
0.015,5,-65.1,20.9,0.006
0.023,6,-65.4,20.9,0.0075
0.0305,7,-65.5,20.9,0.0075
0.039,8,-65.7,20.9,0.0085
0.0475,9,-65.8,20.9,0.0075
0.056,10,-65.9,20.9,0.0075
0.0645,11,-65.9,20.9,0.0075
0.073,12,-65.9,20.9,0.0075
0.0805,13,-66,20.9,0.0075
0.0885,14,-65.9,20.9,0.008
0.097,15,-65.9,20.9,0.0075
0.1055,16,-65.8,20.9,0.0075
0.114,17,-65.7,20.9,0.0075
0.1225,18,-65.6,20.9,0.0075
0.13,19,-65.5,20.9,0.0075
0.1385,20,-65.3,20.9,0.0085
0.147,21,-65.2,20.9,0.0075
0.155,22,-65,20.9,0.0075
0.1635,23,-64.8,20.9,0.0075
0.172,24,-64.6,20.9,0.0075
0.1795,25,-64.3,20.9,0.0075
0.188,26,-64.1,20.9,0.0085
0.1965,27,-63.8,20.9,0.0075
0.205,28,-63.5,20.9,0.0075
0.2135,29,-63.1,20.9,0.0075
0.222,30,-62.9,20.9,0.0085
0.2295,31,-62.6,20.9,0.0075
0.238,32,-62.2,20.9,0.0085
0.246,33,-61.7,20.9,0.0075
0.2545,34,-61.3,20.9,0.0075
0.263,35,-60.8,20.9,0.0075
0.2705,36,-60.5,20.9,0.0075
0.279,37,-60.1,20.9,0.0085
0.2875,38,-59.6,20.9,0.0085
0.296,39,-59.1,20.9,0.0075
0.3045,40,-58.6,20.9,0.0075
0.313,41,-58,20.9,0.0075
0.3205,42,-57.5,20.9,0.0075
0.329,43,-56.6,20.9,0.0085
0.3375,44,-56.2,20.9,0.0075
0.3455,45,-55.6,20.9,0.0075
0.354,46,-54.9,20.9,0.0075
0.3625,47,-54.3,20.9,0.0085
0.37,48,-53.6,20.9,0.0075
0.3785,49,-52.8,20.9,0.0085
0.387,50,-52,20.9,0.0075
0.3955,51,-51.2,20.9,0.0075
0.404,52,-50.2,20.9,0.0075
0.4115,53,-49.4,20.9,0.0075
0.42,54,-48.3,20.9,0.0085
0.4285,55,-47.3,20.9,0.0085
0.4365,56,-46.2,20.9,0.0075
0.445,57,-45.2,20.9,0.0075
0.4535,58,-43.9,20.9,0.0075
0.461,59,-42.8,20.9,0.0075
0.4695,60,-41.4,20.9,0.0085
0.478,61,-40,20.9,0.0075
0.4865,62,-38.4,21,0.0075
0.495,63,-36.7,21,0.0075
0.503,64,-34.8,21,0.0075
0.511,65,-33.1,21,0.008
0.519,66,-31.2,21,0.008
0.5275,67,-29.1,21,0.0085
0.536,68,-27,20.9,0.0075
0.5445,69,-25,21,0.0075
0.553,70,-23,21,0.0075
0.5605,71,-21.3,21,0.0075
0.569,72,-19.6,21,0.0085
0.5775,73,-18.2,21,0.0075
0.586,74,-16.6,21,0.0075
0.594,75,-15.4,21,0.0075
0.6025,76,-13.9,21,0.0075
0.61,77,-12.6,21,0.0075
0.6185,78,-11.6,21,0.0085
0.627,79,-10.6,21,0.0075
0.6355,80,-9.1,21,0.0075
0.644,81,-8.3,21,0.0075
0.6525,82,-7.4,21,0.0075
0.66,83,-6.6,21,0.0075
0.6685,84,-5.8,21,0.0085
0.677,85,-4.9,21,0.0075
0.685,86,-3.8,21,0.0075
0.6935,87,-2.8,21,0.0075
0.702,88,-1.8,21,0.0085
0.7095,89,-0.5,21,0.0075
0.718,90,0.1,21,0.0085
0.7265,91,0.8,21,0.0075
0.735,92,1.4,21,0.0075
0.7435,93,2,21,0.0075
0.7515,94,2.7,21,0.008
0.7595,95,3.5,21,0.008
0.7675,96,4.4,21,0.008
0.776,97,5.1,21,0.0075
0.7845,98,5.9,21,0.0075
0.793,99,6.6,21,0.0075
0.8015,100,7.3,21,0.0085
0.809,101,8,21,0.0075
0.8175,102,8.9,21,0.0085
0.826,103,10,21,0.0075
0.834,104,11.1,21,0.0075
0.8425,105,11.8,21,0.0075
0.851,106,12.7,21,0.0075
0.8585,107,13.4,21,0.0075
0.867,108,14.1,21,0.0085
0.8755,109,14.9,21,0.0075
0.884,110,15.7,21,0.0075
0.8925,111,16.4,21,0.0075
0.9005,112,17,21,0.008
0.9085,113,17.9,21,0.008
0.9165,114,18.7,21,0.008
0.925,115,19.5,21,0.0075
0.9335,116,20.7,21,0.0075
0.942,117,21.9,21,0.0075
0.9505,118,22.8,21,0.0085
0.958,119,23.2,21,0.0075
0.9665,120,23.7,21,0.0085
0.975,121,24.3,21,0.0075
0.983,122,25.2,21,0.0075
0.9915,123,25.9,21,0.0075
0.9995,124,26.6,21,0.008
1.0075,125,27.5,21,0.008
1.016,126,28.5,21,0.0085
1.0245,127,29.2,21,0.0075
1.033,128,30,21,0.0075
1.0415,129,30.6,21,0.0075
1.049,130,31.3,21,0.0075
1.0575,131,32.1,21,0.0085
1.066,132,32.7,21,0.0085
1.074,133,33.7,21,0.0075
1.0825,134,34.4,21,0.0075
1.091,135,35.3,21,0.0075
1.0985,136,35.9,21,0.0075
1.107,137,37,21,0.0085
1.1155,138,38.6,21,0.0085
1.124,139,39.7,21,0.0075
1.1325,140,40.4,21,0.0075
1.1405,141,41.3,21,0.0075
1.1485,142,41.8,21,0.008
1.1565,143,42.6,21,0.008
1.165,144,43.3,21,0.0075
1.1735,145,44.2,21,0.0075
1.182,146,45.1,21,0.0075
1.1905,147,46.6,21,0.0075
1.198,148,47.3,21,0.0075
1.2065,149,47.9,21,0.0085
1.215,150,48.6,21,0.0075
1.2235,151,49.3,21,0.0075
1.2315,152,50.4,21,0.0075
1.24,153,51.3,21,0.0075
1.2475,154,52.1,21,0.0075
1.256,155,53.5,21,0.0085
1.2645,156,54.6,21,0.0075
1.273,157,55.6,21,0.0075
1.2815,158,56.3,21,0.0075
1.29,159,57.4,21,0.0085
1.2975,160,58.6,21,0.0075
1.306,161,59.5,21,0.0085
1.3145,162,60.6,21,0.0075
1.3225,163,62.1,21,0.0075
1.331,164,63.3,21,0.0075
1.3395,165,64.6,21,0.0085
1.347,166,65.5,21,0.0075
1.3555,167,66.9,21,0.0085
1.364,168,68,21,0.0075
1.3725,169,69.2,21,0.0075
1.381,170,70.4,21,0.0075
1.3885,171,71.4,21,0.0075
1.397,172,72.8,21,0.0085
1.405,173,74.5,21,0.008
1.4135,174,76.2,21,0.0075
1.422,175,78.1,21,0.0075
1.4305,176,79.6,21,0.0075
1.439,177,80.7,21,0.0085
1.4465,178,82.3,21,0.0075
1.455,179,84.1,21,0.0085
1.4635,180,85.9,21,0.0075
1.4715,181,88,21,0.0075
1.48,182,90.2,21,0.0075
1.4885,183,92.5,21,0.0075
1.496,184,94.8,21,0.0075
1.5045,185,97.6,21,0.0085
1.513,186,100.7,21,0.0075
1.5215,187,103.3,21,0.0075
1.53,188,106.2,21,0.0075
1.538,189,109.4,21,0.0075
1.5455,190,112.7,21,0.0075
1.554,191,116.3,21,0.0085
1.5625,192,119.8,21,0.0075
1.571,193,123.9,21,0.0075
1.5795,194,127.8,21,0.0075
1.588,195,131.6,21,0.0075
1.5955,196,135.1,21,0.0075
1.604,197,138.9,21,0.0085
1.6125,198,142.6,21,0.0075
1.6205,199,146.2,21,0.0075
1.629,200,149.8,21,0.0075
1.6375,201,153.2,21,0.0075
1.645,202,156,21,0.0075
1.6535,203,159.1,21,0.0085
1.662,204,162.1,21,0.0075
1.6705,205,164.9,21,0.0075
1.679,206,167.7,21,0.0075
1.6875,207,170.1,21,0.0085
1.695,208,172.6,21,0.0075
1.7035,209,174.9,21,0.0085
1.7115,210,177.1,21,0.0075
1.72,211,179.1,21,0.0075
1.7285,212,181.3,21,0.0075
1.736,213,183.1,21,0.0075
1.7445,214,184.9,21,0.0085
1.7475,214,185,21,0.0075
1.7475,454,194.5,21,0
1.748,456,194.5,21,0.0005
1.7495,456,194.5,21,0.003
1.752,458,194.6,21,0.0015
1.756,459,194.9,21,0.0065
1.762,460,195.2,21,0.01
1.7705,461,195.7,21,0.014
1.778,462,196.4,21,0.015
1.7865,462,197.3,21,0.017
1.795,464,198,21,0.0055
1.8035,465,198.8,21,0.014
1.8115,466,199.7,21,0.0135
1.82,467,200.6,21,0.014
1.8275,468,201.2,21,0.015
1.836,468,202,21,0.017
1.8445,470,202.7,21,0.0055
1.853,471,203.4,21,0.014
1.8615,472,204.1,21,0.014
1.87,472,204.8,21,0.017
1.8775,474,205.5,21,0.005
1.886,474,206.2,21,0.017
1.894,476,206.9,21,0.0055
1.9025,477,207.5,21,0.014
1.911,478,208.1,21,0.014
1.9195,479,208.8,21,0.014
1.927,480,209.2,21,0.015
1.9355,480,209.9,21,0.017
1.944,482,210.5,21,0.0055
1.9525,483,211,21,0.014
1.961,484,211.5,21,0.014
1.969,485,212,21,0.0135
1.9765,486,212.6,21,0.015
1.985,486,213.1,21,0.017
1.9935,488,213.5,21,0.0055
2.002,489,214.1,21,0.014
2.0105,490,214.6,21,0.014
2.018,490,215.1,21,0.015
2.0265,492,215.5,21,0.0055
2.035,492,216,21,0.017
2.0435,494,216.3,21,0.0055
2.0515,495,216.8,21,0.0135
2.06,496,217.3,21,0.014
2.0685,496,217.6,21,0.017
2.076,498,218,21,0.005
2.0845,498,218.5,21,0.017
2.093,500,218.9,21,0.0055
2.1015,501,219.3,21,0.014
2.11,502,219.7,21,0.014
2.118,502,220,21,0.016
2.126,504,220.4,21,0.0055
2.134,504,220.8,21,0.016
2.1425,506,221.3,21,0.0055
2.151,507,221.6,21,0.014
2.1595,508,222,21,0.014
2.167,508,222.3,21,0.015
2.1755,510,222.6,21,0.0055
2.184,510,223,21,0.017
2.1925,512,223.3,21,0.0055
2.2005,513,223.7,21,0.0135
2.209,514,224.1,21,0.014
2.217,514,224.3,21,0.016
2.225,516,224.6,21,0.0055
2.2335,516,225,21,0.017
2.242,518,225.3,21,0.0055
2.2505,519,225.6,21,0.014
2.259,520,225.9,21,0.014
2.2665,520,226.2,21,0.015
2.275,522,226.5,21,0.0055
2.2835,522,226.8,21,0.017
2.2915,524,227,21,0.005
2.3,525,227.3,21,0.014
2.3085,526,227.6,21,0.014
2.316,526,227.9,21,0.015
2.3245,528,228.2,21,0.0055
2.333,528,228.5,21,0.017
2.3415,530,228.8,21,0.0055
2.35,531,229.1,21,0.014
2.3585,532,229.3,21,0.017
2.366,532,229.6,21,0.015
2.3745,534,229.9,21,0.0055
2.3825,535,230.1,21,0.0135
2.391,536,230.4,21,0.014
2.3995,537,230.6,21,0.014
2.408,538,230.8,21,0.017
2.4155,538,231.1,21,0.015
2.424,540,231.4,21,0.0055
2.4325,541,231.6,21,0.014
2.441,542,231.8,21,0.014
2.449,543,232,21,0.0135
2.4575,544,232.2,21,0.014
2.465,544,232.5,21,0.015
2.4735,546,232.7,21,0.0055
2.482,547,232.9,21,0.014
2.4905,548,233.3,21,0.014
2.499,549,233.5,21,0.014
2.5075,550,233.6,21,0.014
2.515,550,233.8,21,0.015
2.523,552,234,21,0.0055
2.5315,553,234.2,21,0.014
2.538,554,234.5,21,0.011
2.5385,555,234.7,21,0.001
2.5385,556,234.8,21,0
2.539,556,234.8,21,0.001
2.5405,558,234.8,21,0.001
2.5425,559,234.9,21,0.0035
2.546,560,234.9,21,0.006
2.551,561,235,21,0.0085
2.554,561,235,21,0.03
Scope 1/1, Sample 3/9 (20160805_Bin3),,,
Result,TitrationEP1,,,
V,t,E,T,dV/dt
0,0,-60.8,20.9,NaN
0.0005,1,-62.6,20.9,0.0005
0.0025,2,-63,20.9,0.002
0.005,3,-63.3,20.9,0.0025
0.009,4,-63.8,20.9,0.0035
0.015,5,-64.1,20.9,0.0055
0.0235,6,-64.3,20.9,0.0075
0.031,7,-64.5,20.9,0.0075
0.0395,8,-64.6,20.9,0.0085
0.048,9,-64.8,20.9,0.0075
0.0565,10,-64.9,20.9,0.0075
0.065,11,-64.9,20.9,0.0075
0.0735,12,-64.9,20.9,0.0075
0.081,13,-65,20.9,0.0075
0.0895,14,-65,20.9,0.0085
0.0975,15,-64.9,20.9,0.0075
0.106,16,-64.8,20.9,0.0075
0.1145,17,-64.7,20.9,0.0075
0.123,18,-64.6,20.9,0.0075
0.1305,19,-64.5,20.9,0.0075
0.139,20,-64.4,20.9,0.0085
0.1475,21,-64.3,20.9,0.0075
0.156,22,-64.1,20.9,0.0075
0.164,23,-63.9,20.9,0.0075
0.1725,24,-63.7,20.9,0.0075
0.18,25,-63.5,20.9,0.0075
0.1885,26,-63.3,20.9,0.0085
0.197,27,-63,20.9,0.0075
0.2055,28,-62.7,20.9,0.0075
0.214,29,-62.4,20.9,0.0075
0.2225,30,-62.1,20.9,0.0085
0.23,31,-61.8,20.9,0.0075
0.2385,32,-61.4,20.9,0.0085
0.247,33,-61,20.9,0.0075
0.255,34,-60.7,20.9,0.0075
0.2635,35,-60.3,20.9,0.0075
0.272,36,-59.9,20.9,0.0085
0.2795,37,-59.5,20.9,0.0075
0.288,38,-59,20.9,0.0085
0.2965,39,-58.6,20.9,0.0075
0.305,40,-58,20.9,0.0075
0.3135,41,-57.5,20.9,0.0075
0.321,42,-57,20.9,0.0075
0.3295,43,-56.4,20.9,0.0085
0.338,44,-55.8,20.9,0.0085
0.346,45,-55.2,20.9,0.0075
0.3545,46,-54.6,20.9,0.0075
0.363,47,-53.8,20.9,0.0075
0.3705,48,-53.2,20.9,0.0075
0.379,49,-52.4,20.9,0.0085
0.3875,50,-51.7,20.9,0.0085
0.396,51,-50.9,20.9,0.0075
0.4045,52,-50.1,20.9,0.0075
0.4125,53,-49.2,20.9,0.0075
0.4205,54,-48.4,20.9,0.008
0.4285,55,-47.4,20.9,0.008
0.437,56,-46.3,20.9,0.0075
0.4455,57,-45.2,20.9,0.0075
0.454,58,-44.1,20.9,0.0075
0.4625,59,-42.9,20.9,0.0075
0.47,60,-41.7,20.9,0.0075
0.4785,61,-40.2,20.9,0.0085
0.487,62,-38.8,20.9,0.0075
0.4955,63,-37.3,20.9,0.0075
0.5035,64,-35.7,20.9,0.0075
0.512,65,-34.1,20.9,0.0085
0.5195,66,-32.2,20.9,0.0075
0.528,67,-30.1,20.9,0.0085
0.5365,68,-28.1,20.9,0.0075
0.545,69,-26,20.9,0.0075
0.5535,70,-24.1,20.9,0.0075
0.562,71,-22.2,20.9,0.0075
0.5695,72,-20.4,20.9,0.0075
0.578,73,-18.8,20.9,0.0085
0.586,74,-17.4,20.9,0.0075
