Measure.Date,Calib.Date,Exposure,Sample.ID,Treatment,Temperature,pH.MV,Salinity,Bottle.number1,Bottle.number2
20160802,20160802,Exposure2,Bin1,Ambient,18.04,NA,NA,NA,NA
20160802,20160802,Exposure2,Bin2,Ambient,18.07,NA,NA,NA,NA
20160802,20160802,Exposure2,Bin3,Ambient,17.97,NA,NA,NA,NA
20160802,20160802,Exposure2,Bin4,Ambient,18.27,NA,NA,NA,NA
20160802,20160802,Exposure2,Bin5,Ambient,18.1,NA,NA,NA,NA
20160802,20160802,Exposure2,Bin6,Ambient,18.12,NA,NA,NA,NA
20160802,20160802,Exposure2,Bin7,Low,17.98,NA,NA,NA,NA
20160802,20160802,Exposure2,Bin8,Low,18.08,NA,NA,NA,NA
20160802,20160802,Exposure2,Bin9,Low,18.05,NA,NA,NA,NA
20160802,20160802,Exposure2,Bin10,Low,18.13,NA,NA,NA,NA
20160802,20160802,Exposure2,Bin11,Low,18.04,NA,NA,NA,NA
20160802,20160802,Exposure2,Bin12,Low,18.03,NA,NA,NA,NA
20160802,20160802,Exposure2,Bin1,Ambient,18.2,-62.6,28.5,Bin.Date,Bin.Date
20160802,20160802,Exposure2,Bin2,Ambient,18.24,-63.2,28.6,Bin.Date,Bin.Date
20160802,20160802,Exposure2,Bin3,Ambient,18.13,-62.8,28.6,Bin.Date,Bin.Date
20160802,20160802,Exposure2,Bin4,Ambient,18.26,-62.7,28.6,Bin.Date,Bin.Date
20160802,20160802,Exposure2,Bin5,Ambient,18.21,-62.5,28.5,Bin.Date,Bin.Date
20160802,20160802,Exposure2,Bin6,Ambient,18.16,-62.6,28.5,Bin.Date,Bin.Date
20160802,20160802,Exposure2,Bin7,Low,18.39,-32,28.6,Bin.Date,Bin.Date
20160802,20160802,Exposure2,Bin8,Low,18.32,-31.3,28.6,Bin.Date,Bin.Date
20160802,20160802,Exposure2,Bin9,Low,18.31,-30,28.6,Bin.Date,Bin.Date
20160802,20160802,Exposure2,Bin10,Low,18.36,-30.4,28.6,Bin.Date,Bin.Date
20160802,20160802,Exposure2,Bin11,Low,18.28,-31,28.6,Bin.Date,Bin.Date
20160802,20160802,Exposure2,Bin12,Low,18.27,-30.3,28.6,Bin.Date,Bin.Date
20160803,20160802,Exposure2,Bin1,Ambient,19.01,-62.5,28.5,NA,NA
20160803,20160802,Exposure2,Bin2,Ambient,18.69,-61.9,28.6,NA,NA
20160803,20160802,Exposure2,Bin3,Ambient,18.93,-61.7,28.7,NA,NA
20160803,20160802,Exposure2,Bin4,Ambient,19.37,-61.3,28.6,NA,NA
20160803,20160802,Exposure2,Bin5,Ambient,19.19,-61.5,28.5,NA,NA
20160803,20160802,Exposure2,Bin6,Ambient,19.65,-61.5,28.8,NA,NA
20160803,20160802,Exposure2,Bin7,Low,19.24,-40.3,28.5,NA,NA
20160803,20160802,Exposure2,Bin8,Low,19.16,-39,28.6,NA,NA
20160803,20160802,Exposure2,Bin9,Low,19.11,-38.9,28.5,NA,NA
20160803,20160802,Exposure2,Bin10,Low,19.38,-38.3,28.7,NA,NA
20160803,20160802,Exposure2,Bin11,Low,19.43,-38.9,28.6,NA,NA
20160803,20160802,Exposure2,Bin12,Low,19.27,-38.1,28.6,NA,NA
20160805,20160805,Exposure2,Bin1,Ambient,17.81,-61.6,28.3,Bin.Date,Bin.Date
20160805,20160805,Exposure2,Bin2,Ambient,17.86,-61.8,28.3,Bin.Date,Bin.Date
20160805,20160805,Exposure2,Bin3,Ambient,17.81,-61.8,28.2,Bin.Date,Bin.Date
20160805,20160805,Exposure2,Bin4,Ambient,17.93,-61.5,28.4,Bin.Date,Bin.Date
20160805,20160805,Exposure2,Bin5,Ambient,17.93,-61.7,28.5,Bin.Date,Bin.Date
20160805,20160805,Exposure2,Bin6,Ambient,18.07,-61.4,28.5,Bin.Date,Bin.Date
20160805,20160805,Exposure2,Bin7,Low,18.01,-38,28.4,Bin.Date,Bin.Date
20160805,20160805,Exposure2,Bin8,Low,17.94,-39.8,28.5,Bin.Date,Bin.Date
20160805,20160805,Exposure2,Bin9,Low,17.87,-40.2,28.4,Bin.Date,Bin.Date
20160805,20160805,Exposure2,Bin10,Low,17.79,-40.3,28.4,Bin.Date,Bin.Date
20160805,20160805,Exposure2,Bin11,Low,17.81,-41.1,28.5,Bin.Date,Bin.Date
20160805,20160805,Exposure2,Bin12,Low,17.88,-40.2,28.6,Bin.Date,Bin.Date
20160808,20160808,Exposure2,Bin1,Ambient,17.58,-61.8,28.5,Bin.Date,Bin.Date
20160808,20160808,Exposure2,Bin2,Ambient,17.58,-61.8,28.5,Bin.Date,Bin.Date
20160808,20160808,Exposure2,Bin3,Ambient,17.54,-61.7,28.4,Bin.Date,Bin.Date
20160808,20160808,Exposure2,Bin4,Ambient,17.71,-61.8,28.5,Bin.Date,Bin.Date
20160808,20160808,Exposure2,Bin5,Ambient,17.65,-61.8,28.5,Bin.Date,Bin.Date
20160808,20160808,Exposure2,Bin6,Ambient,17.63,-61.7,28.5,Bin.Date,Bin.Date
20160808,20160808,Exposure2,Bin7,Low,17.64,-38.4,28.5,Bin.Date,Bin.Date
20160808,20160808,Exposure2,Bin8,Low,17.61,-38.3,28.5,Bin.Date,Bin.Date
20160808,20160808,Exposure2,Bin9,Low,17.58,-37.1,28.5,Bin.Date,Bin.Date
20160808,20160808,Exposure2,Bin10,Low,17.71,-38,28.5,Bin.Date,Bin.Date
20160808,20160808,Exposure2,Bin11,Low,17.6,-38.8,28.5,Bin.Date,Bin.Date
20160808,20160808,Exposure2,Bin12,Low,17.53,-38.9,28.5,Bin.Date,Bin.Date
20160810,20160808,Exposure2,Bin1,Ambient,18.86,-59.8,28.7,NA,NA
20160810,20160808,Exposure2,Bin2,Ambient,18.56,-60.3,28.6,NA,NA
20160810,20160808,Exposure2,Bin3,Ambient,18.65,-60.2,28.7,NA,NA
20160810,20160808,Exposure2,Bin4,Ambient,18.89,-59.6,28.7,NA,NA
20160810,20160808,Exposure2,Bin5,Ambient,18.71,-59.8,28.7,NA,NA
20160810,20160808,Exposure2,Bin6,Ambient,18.93,-60.1,28.7,NA,NA
20160810,20160808,Exposure2,Bin7,Low,18.89,-38.3,28.7,NA,NA
20160810,20160808,Exposure2,Bin8,Low,18.55,-37.5,28.7,NA,NA
20160810,20160808,Exposure2,Bin9,Low,18.94,-36.7,28.7,NA,NA
20160810,20160808,Exposure2,Bin10,Low,19.38,-35.5,28.8,NA,NA
20160810,20160808,Exposure2,Bin11,Low,19.05,-37.1,28.7,NA,NA
20160810,20160808,Exposure2,Bin12,Low,19.16,-36.8,28.8,NA,NA
20160815,20160815,Exposure2,Bin1,Ambient,18.34,-58.8,28.4,Bin.Date,Bin.Date
20160815,20160815,Exposure2,Bin2,Ambient,18.4,-59.6,28.4,Bin.Date,Bin.Date
20160815,20160815,Exposure2,Bin3,Ambient,18.37,-59.4,28.4,Bin.Date,Bin.Date
20160815,20160815,Exposure2,Bin4,Ambient,18.5,-59,28.4,Bin.Date,Bin.Date
20160815,20160815,Exposure2,Bin5,Ambient,18.52,-59.1,28.4,Bin.Date,Bin.Date
20160815,20160815,Exposure2,Bin6,Ambient,18.54,-59.6,28.4,Bin.Date,Bin.Date
20160815,20160815,Exposure2,Bin7,Low,18.4,-35.5,28.4,Bin.Date,Bin.Date
20160815,20160815,Exposure2,Bin8,Low,18.43,-34.5,28.4,Bin.Date,Bin.Date
20160815,20160815,Exposure2,Bin9,Low,18.34,-33.6,28.3,Bin.Date,Bin.Date
20160815,20160815,Exposure2,Bin10,Low,18.42,-33,28.3,Bin.Date,Bin.Date
20160815,20160815,Exposure2,Bin11,Low,18.37,-33.5,28.3,Bin.Date,Bin.Date
20160815,20160815,Exposure2,Bin12,Low,18.29,-32.7,28.3,Bin.Date,Bin.Date
20160819,20160819,Exposure2,Bin1,Ambient,19.23,-59.2,28.6,Bin.Date,Bin.Date
20160819,20160819,Exposure2,Bin2,Ambient,19.3,-60.3,28.4,Bin.Date,Bin.Date
20160819,20160819,Exposure2,Bin3,Ambient,19.14,-59.8,28.5,Bin.Date,Bin.Date
20160819,20160819,Exposure2,Bin4,Ambient,19.37,-59.8,28.6,Bin.Date,Bin.Date
20160819,20160819,Exposure2,Bin5,Ambient,19.24,-59.2,28.6,Bin.Date,Bin.Date
20160819,20160819,Exposure2,Bin6,Ambient,19.35,-59.6,28.6,Bin.Date,Bin.Date
20160819,20160819,Exposure2,Bin7,Low,19.05,-36.4,28.7,Bin.Date,Bin.Date
20160819,20160819,Exposure2,Bin8,Low,19.12,-36.6,28.6,Bin.Date,Bin.Date
20160819,20160819,Exposure2,Bin9,Low,19.02,-36.6,28.5,Bin.Date,Bin.Date
20160819,20160819,Exposure2,Bin10,Low,19.1,-36.2,28.5,Bin.Date,Bin.Date
20160819,20160819,Exposure2,Bin11,Low,19.1,-36.3,28.4,Bin.Date,Bin.Date
20160819,20160819,Exposure2,Bin12,Low,19.01,-34.9,28.4,Bin.Date,Bin.Date
20160821,20160819,Exposure2,Bin1,Ambient,18.36,-59.8,28.5,Bin.Date,Bin.Date
20160821,20160819,Exposure2,Bin2,Ambient,18.57,-60.9,28.5,Bin.Date,Bin.Date
20160821,20160819,Exposure2,Bin3,Ambient,18.31,-60.4,28.4,Bin.Date,Bin.Date
20160821,20160819,Exposure2,Bin4,Ambient,18.59,-60.2,28.5,Bin.Date,Bin.Date
20160821,20160819,Exposure2,Bin5,Ambient,18.55,-60.3,28.6,Bin.Date,Bin.Date
20160821,20160819,Exposure2,Bin6,Ambient,18.59,-60.8,28.6,Bin.Date,Bin.Date
20160821,20160819,Exposure2,Bin7,Low,18.48,-21.9,28.4,Bin.Date,Bin.Date
20160821,20160819,Exposure2,Bin8,Low,18.7,-21.9,28.6,Bin.Date,Bin.Date
20160821,20160819,Exposure2,Bin9,Low,18.5,-21.6,28.4,Bin.Date,Bin.Date
20160821,20160819,Exposure2,Bin10,Low,18.59,-20.5,28.6,Bin.Date,Bin.Date
20160821,20160819,Exposure2,Bin11,Low,18.61,-20.9,28.4,Bin.Date,Bin.Date
20160821,20160819,Exposure2,Bin12,Low,18.45,-20.3,28.4,Bin.Date,Bin.Date
